"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","18","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testGetArtistById_Success","testGetArtistById_Success()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","9","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testDeleteSong_NotFound","testDeleteSong_NotFound()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","9","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testGetSongById_Success","testGetSongById_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","8","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testDeleteArtist_InvalidId","testDeleteArtist_InvalidId()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","7","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","testGetAlbumById_NullAlbum","testGetAlbumById_NullAlbum()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","19","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testDeleteAlbum_Success","testDeleteAlbum_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","30","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testGetArtistSongs_Success","testGetArtistSongs_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","7","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","testGetAllArtists_Success","testGetAllArtists_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","7","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testDeleteArtist_NotFound","testDeleteArtist_NotFound()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","16","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testUpdateSong_NotFound","testUpdateSong_NotFound()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","31","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testAddTrackToAlbum_Success","testAddTrackToAlbum_Success()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","5","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testDeleteSong_InvalidId","testDeleteSong_InvalidId()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","16","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","testGetArtistById_Success","testGetArtistById_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","7","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","testGetAlbumById_Success","testGetAlbumById_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","6","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","testGetAllAlbums_NullAlbum","testGetAllAlbums_NullAlbum()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","48","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","testGetAllSongs_NullSong","testGetAllSongs_NullSong()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","10","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testGetAlbumById_Success","testGetAlbumById_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","12","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testDeleteAlbum_NotFound","testDeleteAlbum_NotFound()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","15","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testUpdateAlbum_NotFound","testUpdateAlbum_NotFound()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","8","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.SongControllerTest","testGetSongtById_NullSong","testGetSongtById_NullSong()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","10","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testUpdateAlbum_NotFound","testUpdateAlbum_NotFound()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","10","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testDeleteTrack_NotFound","testDeleteTrack_NotFound()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","10","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testAddTrackToAlbum_TrackExists","testAddTrackToAlbum_TrackExists()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","14","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testGetAllArtists_Success","testGetAllArtists_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","9","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testCreateAlbum_Exists","testCreateAlbum_Exists()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","16","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testDeleteTrack_Success","testDeleteTrack_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","18","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testGetArtistAlbums_Success","testGetArtistAlbums_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","15","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testCreateAlbum_Success","testCreateAlbum_Success()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","15","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testCreateSong_Success","testCreateSong_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","6","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testDeleteAlbum_InvalidId","testDeleteAlbum_InvalidId()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","29","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testUpdateTrackInAlbum_Success","testUpdateTrackInAlbum_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","15","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.AlbumControllerTest","testGetAllAlbums_Success","testGetAllAlbums_Success()",""
